YY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
97 10 29 08  19  2.3  3.8  2.82 10.00  6.92  70 1011.2  26.1  29.2 999.0 99.0
97 10 29 09  97  1.8  2.8  2.69 16.67  6.95 189 1011.1  26.3  29.2 999.0 99.0
97 10 29 10  33  4.8  6.6  2.74 14.29  7.20 200 1010.9  26.3  29.2 999.0 99.0
97 10 29 11 325  5.4  6.5  2.89  8.33  7.47 255 9999.0  24.6  29.2 999.0 99.0
97 10 29 12 292  6.5  7.8  3.02 14.29  7.51 206 1009.0  25.3  29.2 999.0 99.0
97 10 29 13 284  3.9  5.2  3.39  9.09  7.68 266 1008.5  26.0  29.2 999.0 99.0
97 10 29 14 264  8.0 13.4  2.96  9.09  7.42 288 1008.3  26.6  29.2 999.0 99.0
97 10 29 15 275 10.1 13.1  2.94 14.29  7.22 213 1008.5  26.3  29.2 999.0 99.0
97 10 29 16 265 10.0 12.8  3.38  9.09  7.06 281 1008.6  26.8  29.2 999.0 99.0
97 10 29 17 280 10.1 12.1  3.26  8.33  6.86 286 1009.1  26.9  29.2 999.0 99.0
97 10 29 18 277  9.9 12.0  3.38  8.33  6.87 274 1009.5  27.4  29.2 999.0 99.0
97 10 29 19 278  9.5 11.1  3.07  9.09  6.78 283 1009.7  27.7  29.2 999.0 99.0
97 10 29 20 281  8.3  9.9  3.07  8.33  6.62 274 1010.2  27.9  29.2 999.0 99.0
97 10 29 21 282  9.1 10.9  3.01 14.29  6.87 217 1009.5  28.2  29.2 999.0 99.0
97 10 29 22 274  8.8 10.7  3.04  9.09  6.91 291 1008.8  28.3  29.2 999.0 99.0
97 10 29 23 263  9.1 10.8  2.98  8.33  6.68 293 1008.0  28.3  29.2 999.0 99.0
97 10 30 00 270  9.5 11.9  2.98  9.09  6.31 293 1007.3  28.4  29.2 999.0 99.0
97 10 30 01 272  9.4 11.7  2.85  9.09  6.35 312 1006.9  28.4  29.2 999.0 99.0
97 10 30 02 274  8.6 10.9  2.97  9.09  6.61 304 1006.7  28.2  29.2 999.0 99.0
97 10 30 03 283  7.3  9.3  3.21 14.29  7.06 210 1007.2  28.2  29.2 999.0 99.0
97 10 30 04 290  7.3  8.8  2.90  9.09  6.70 290 1007.9  28.4  29.2 999.0 99.0
97 10 30 05 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 10 30 06 322 11.3 14.5  3.11  9.09  6.93 302 1009.1  27.2  29.2 999.0 99.0
97 10 30 07 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 10 30 08 346  9.0 11.0  2.67  9.09  6.83 350 1010.4  25.6  29.2 999.0 99.0
97 10 30 09 331  9.2 11.4  2.85  8.33  6.95 287 1010.5  25.5  29.2 999.0 99.0
97 10 30 10 344  2.4  3.8  2.63  8.33  6.73 280 1010.8  25.5  29.2 999.0 99.0
97 10 30 11 245  3.6  4.7  2.62 14.29  6.90 205 1009.9  25.2  29.2 999.0 99.0
97 10 30 12 260  8.1  9.7  2.90 14.29  7.35 280 1008.9  25.8  29.2 999.0 99.0
97 10 30 13 999 99.0 99.0 99.00 99.00 99.00 999 9999.0 999.0 999.0 999.0 99.0
97 10 30 14 269  7.4  8.6  2.67 14.29  6.52 247 1008.7  25.8  29.2 999.0 99.0
97 10 30 15 268  7.1  8.5  2.60 16.67  6.70 292 1008.8  26.4  29.2 999.0 99.0
97 10 30 16 246  5.2  6.3  2.67 14.29  6.81 244 1009.8  26.1  29.2 999.0 99.0
97 10 30 17 237  3.3  4.7  2.54 14.29  7.16 286 1010.4  26.6  29.2 999.0 99.0
97 10 30 18 232  2.2  3.1  2.46 14.29  7.41 254 1010.9  26.8  29.2 999.0 99.0
97 10 30 19 248  2.2  3.2  2.56 14.29  7.64 243 1011.3  27.3  29.2 999.0 99.0
97 10 30 20 271  2.7  3.8  2.51 14.29  7.68 267 1011.3  27.4  29.2 999.0 99.0
97 10 30 21 305  4.6  5.9  2.42 14.29  7.79 250 1010.8  27.6  29.2 999.0 99.0
97 10 30 22 306  5.0  6.1  2.48 14.29  8.32 245 1009.4  27.7  29.2 999.0 99.0
97 10 30 23 301  6.5  7.9  2.31 14.29  7.85 245 1007.9  27.6  29.2 999.0 99.0
97 10 31 00 279  6.6  8.0  2.48 14.29  8.17 225 1007.2  27.7  29.2 999.0 99.0
97 10 31 01 280  6.7  8.0  2.34 14.29  8.24 278 1006.8  28.2  29.2 999.0 99.0
97 10 31 02 291  6.7  7.8  2.37 14.29  7.93 263 1006.8  28.2  29.2 999.0 99.0
