YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS
1999 01 01 00  81  4.8  5.6  1.62 12.50  7.32 213 1009.3  23.8  23.7 999.0 99.0
1999 01 01 01  81  4.6  5.6  1.75 12.50  7.73 241 1008.7  24.1  23.7 999.0 99.0
1999 01 01 02 100  4.8  5.8  1.65 10.00  7.20  52 1008.7  24.2  23.7 999.0 99.0
1999 01 01 03  97  4.6  5.7  1.89 12.50  7.55 235 1009.1  24.2  23.7 999.0 99.0
1999 01 01 04  92  4.5  5.3  1.84 14.29  7.57 331 1009.6  24.1  23.6 999.0 99.0
1999 01 01 05 101  4.6  5.4  1.93 14.29  7.57 326 1010.3  23.8  23.5 999.0 99.0
1999 01 01 06  95  5.2  6.1  1.77 14.29  7.76 324 1010.9  23.7  23.5 999.0 99.0
1999 01 01 07  92  4.6  5.4  1.75 14.29  7.46 329 1011.4  23.7  23.4 999.0 99.0
1999 01 01 08  87  4.5  5.6  1.86 14.29  7.65 320 1011.7  23.5  23.4 999.0 99.0
1999 01 01 09  82  4.2  4.8  1.74 14.29  7.25 326 1011.8  23.5  23.4 999.0 99.0
1999 01 01 10  74  4.3  5.3  1.71  9.09  7.27  70 1011.7  23.4  23.4 999.0 99.0
1999 01 01 11  63  4.3  5.2  1.72 14.29  7.31 319 1011.1  23.4  23.0 999.0 99.0
1999 01 01 12  64  4.5  5.5  1.68 14.29  7.30 319 1010.9  23.0  23.0 999.0 99.0
1999 01 01 13  70  5.0  6.0  1.76 14.29  7.57 325 1010.4  23.4  23.0 999.0 99.0
1999 01 01 14  61  4.8  5.6  1.61 14.29  7.27 323 1010.3  23.5  23.0 999.0 99.0
1999 01 01 15  89  6.3  7.6  1.76 12.50  7.46 300 1010.6  23.5  23.0 999.0 99.0
1999 01 01 16  72  4.7  5.5  1.86 14.29  7.52 324 1011.2  23.5  23.0 999.0 99.0
1999 01 01 17  82  5.2  6.1  1.70 14.29  7.22 322 1011.8  23.5  23.0 999.0 99.0
1999 01 01 18  83  5.1  6.0  1.72 12.50  7.63 331 1012.6  23.5  23.0 999.0 99.0
1999 01 01 19  81  5.7  6.7  1.65 14.29  7.17 340 1012.9  23.7  23.0 999.0 99.0
1999 01 01 20  82  5.5  6.8  1.67 12.50  7.05 327 1012.7  23.7  23.0 999.0 99.0
1999 01 01 21  85  5.2  6.3  1.66 12.50  6.83 324 1012.4  23.7  23.0 999.0 99.0
1999 01 01 22  86  4.9  6.1  1.77 12.50  6.91 322 1011.8  23.7  23.3 999.0 99.0
1999 01 01 23  78  4.8  6.0  1.74 12.50  7.02 298 1011.1  23.7  23.4 999.0 99.0
1999 01 02 00  71  4.5  5.5  1.77 12.50  6.72 326 1010.5  23.7  23.4 999.0 99.0
1999 01 02 01  67  4.6  5.5  1.80 12.50  6.78 313 1009.6  23.7  23.5 999.0 99.0
1999 01 02 02  63  5.0  6.0  1.78 12.50  6.72 312 1009.6  23.7  23.5 999.0 99.0
1999 01 02 03  62  5.2  6.1  1.76 12.50  6.61 308 1009.7  23.7  23.5 999.0 99.0
1999 01 02 04  64  5.3  6.2  1.60 12.50  6.02 321 1010.3  23.7  23.5 999.0 99.0
1999 01 02 05  69  4.8  5.9  1.65 11.11  6.47 207 1011.0  23.6  23.4 999.0 99.0
1999 01 02 06  68  5.0  5.9  1.73 12.50  6.53 296 1011.1  23.5  23.4 999.0 99.0
