YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2001 01 01 00 108  6.4  7.5  1.79 16.67  6.49 327 1008.5  25.3  25.3 999.0 99.0 99.00
2001 01 01 01 104  6.6  7.9  1.84 16.67  6.36 327 1007.9  25.2  25.3 999.0 99.0 99.00
2001 01 01 02  97  6.0  7.2  1.86 16.67  6.36 345 1007.8  25.3  25.3 999.0 99.0 99.00
2001 01 01 03  96  6.5  8.0  1.84 16.67  6.20 329 1008.5  25.3  25.3 999.0 99.0 99.00
2001 01 01 04  88  6.5  7.7  1.80 16.67  6.30 331 1009.1  25.3  25.3 999.0 99.0 99.00
2001 01 01 05  88  5.9  7.0  1.86 16.67  6.43 331 1009.9  25.2  25.1 999.0 99.0 99.00
2001 01 01 06  90  5.8  6.8  1.90 16.67  6.88 331 1010.4  25.1  25.3 999.0 99.0 99.00
2001 01 01 07  88  6.5  7.8  1.79  7.14  6.44  83 1010.9  25.1  25.1 999.0 99.0 99.00
2001 01 01 08  88  6.8  7.8  1.78 14.29  6.41 324 1010.9  25.1  25.1 999.0 99.0 99.00
2001 01 01 09  88  6.4  7.6  1.80 14.29  6.50 320 1010.9  25.1  25.1 999.0 99.0 99.00
2001 01 01 10  93  6.4  7.6  1.80 14.29  6.43 317 1010.3  25.0  25.1 999.0 99.0 99.00
2001 01 01 11  86  6.4  7.6  1.84 14.29  6.48 311 1009.8  25.0  25.1 999.0 99.0 99.00
2001 01 01 12  89  5.4  7.0  1.90 14.29  6.91 317 1009.4  25.0  25.1 999.0 99.0 99.00
2001 01 01 13  80  5.9  6.9  1.77 14.29  6.47 311 1008.9  24.9  25.1 999.0 99.0 99.00
2001 01 01 14  81  6.0  7.2  1.84 14.29  6.64 316 1008.8  24.9  25.0 999.0 99.0 99.00
2001 01 01 15  82  7.0  8.3  1.82 14.29  6.76 329 1009.2  25.0  25.0 999.0 99.0 99.00
2001 01 01 16  95  6.9  8.5  1.90 16.67  6.68 320 1009.7  25.0  25.0 999.0 99.0 99.00
2001 01 01 17  96  6.7  7.9  1.93 16.67  6.60 325 1010.2  25.0  25.0 999.0 99.0 99.00
2001 01 01 18  96  7.4  8.9  2.01 14.29  6.76 317 1010.9  25.1  25.0 999.0 99.0 99.00
2001 01 01 19  98  6.7  7.8  2.07 16.67  6.82 325 1011.3  25.3  25.0 999.0 99.0 99.00
2001 01 01 20  92  6.8  7.9  1.99 14.29  6.45 326 1011.1  25.3  25.0 999.0 99.0 99.00
2001 01 01 21  90  6.4  7.6  2.03 14.29  6.65 316 1010.3  25.2  25.1 999.0 99.0 99.00
2001 01 01 22  91  6.8  8.4  2.02 14.29  6.97 324 1009.4  25.1  25.1 999.0 99.0 99.00
2001 01 01 23  98  7.1  8.3  2.01 14.29  6.69 312 1008.6  25.3  25.1 999.0 99.0 99.00
2001 01 02 00  96  6.4  8.2  2.02 14.29  6.58 333 1008.2  25.3  25.1 999.0 99.0 99.00
2001 01 02 01  96  6.6  8.2  2.13 14.29  6.65 318 1007.8  25.3  25.1 999.0 99.0 99.00
2001 01 02 02  89  7.0  8.4  2.20 14.29  6.85 331 1007.7  25.4  25.1 999.0 99.0 99.00
2001 01 02 03  92  6.8  8.0  2.12  9.09  6.69  48 1007.9  25.3  25.1 999.0 99.0 99.00
2001 01 02 04  95  6.0  7.1  2.14 16.67  6.89 324 1008.9  25.3  25.1 999.0 99.0 99.00
2001 01 02 05  99  6.3  7.7  2.03  9.09  6.61  43 1009.6  25.3  25.0 999.0 99.0 99.00
