YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 01 01 00 999 99.0 99.0  2.00 11.11  6.08  44 1002.5 999.0  25.9 999.0 99.0 99.00
2004 01 01 01 999 99.0 99.0  2.11 11.11  6.47  52 1002.1 999.0  26.1 999.0 99.0 99.00
2004 01 01 02 999 99.0 99.0  2.03 11.11  6.21  42 1002.4 999.0  26.0 999.0 99.0 99.00
2004 01 01 03 999 99.0 99.0  1.98 10.00  6.37  42 1003.2 999.0  26.1 999.0 99.0 99.00
2004 01 01 04 999 99.0 99.0  2.07 10.00  6.68  69 1004.0 999.0  26.0 999.0 99.0 99.00
2004 01 01 05 999 99.0 99.0  2.20 11.11  6.98  47 1004.7 999.0  25.9 999.0 99.0 99.00
2004 01 01 06 999 99.0 99.0  2.10 11.11  6.99  36 1005.5 999.0  25.9 999.0 99.0 99.00
2004 01 01 07 999 99.0 99.0  2.13 11.11  6.85  41 1005.9 999.0  25.9 999.0 99.0 99.00
2004 01 01 08 999 99.0 99.0  2.09 11.11  6.51  43 1006.3 999.0  25.9 999.0 99.0 99.00
2004 01 01 09 999 99.0 99.0  2.15 10.00  6.84  55 1006.3 999.0  25.9 999.0 99.0 99.00
2004 01 01 10 999 99.0 99.0  2.17 11.11  6.84  35 1006.1 999.0  25.8 999.0 99.0 99.00
2004 01 01 11 999 99.0 99.0  1.89 11.11  6.43  58 1005.3 999.0  25.8 999.0 99.0 99.00
2004 01 01 12 999 99.0 99.0  2.06 11.11  6.46  45 1004.6 999.0  25.8 999.0 99.0 99.00
2004 01 01 13 999 99.0 99.0  2.27 11.11  6.86  41 1004.7 999.0  25.8 999.0 99.0 99.00
2004 01 01 14 999 99.0 99.0  2.21 11.11  6.55  39 1004.7 999.0  25.8 999.0 99.0 99.00
2004 01 01 15 999 99.0 99.0  2.07 11.11  6.22  49 1004.7 999.0  25.8 999.0 99.0 99.00
2004 01 01 16 999 99.0 99.0  2.27 11.11  6.43  40 1005.1 999.0  25.8 999.0 99.0 99.00
2004 01 01 17 999 99.0 99.0  2.20 11.11  6.18  32 1005.7 999.0  25.8 999.0 99.0 99.00
2004 01 01 18 999 99.0 99.0  2.18 10.00  6.12  55 1006.6 999.0  25.8 999.0 99.0 99.00
2004 01 01 19 999 99.0 99.0  2.28 11.11  5.88  49 1006.9 999.0  25.8 999.0 99.0 99.00
2004 01 01 20 999 99.0 99.0  2.14 10.00  6.08  48 1006.7 999.0  25.8 999.0 99.0 99.00
2004 01 01 21 999 99.0 99.0  2.24 11.11  6.04  39 1006.3 999.0  25.8 999.0 99.0 99.00
2004 01 01 22 999 99.0 99.0  2.10 11.11  5.91  44 1005.7 999.0  25.8 999.0 99.0 99.00
2004 01 01 23 999 99.0 99.0  2.26 11.11  6.03  47 1004.9 999.0  25.8 999.0 99.0 99.00
2004 01 02 00 999 99.0 99.0  2.17 11.11  5.92  35 1004.1 999.0  25.9 999.0 99.0 99.00
2004 01 02 01 999 99.0 99.0  2.23 11.11  6.15  44 1003.2 999.0  25.8 999.0 99.0 99.00
2004 01 02 02 999 99.0 99.0  2.17 11.11  5.96  38 1003.1 999.0  25.9 999.0 99.0 99.00
2004 01 02 03 999 99.0 99.0  2.23 10.00  5.99  44 1003.4 999.0  25.8 999.0 99.0 99.00
2004 01 02 04 999 99.0 99.0  2.21 11.11  6.09  56 1004.3 999.0  25.8 999.0 99.0 99.00
2004 01 02 05 999 99.0 99.0  2.32 11.11  6.04  38 1004.9 999.0  25.8 999.0 99.0 99.00
2004 01 02 06 999 99.0 99.0  2.14 10.00  6.08  60 1005.5 999.0  25.8 999.0 99.0 99.00
2004 01 02 07 999 99.0 99.0  2.35 11.11  6.41  42 1006.3 999.0  25.8 999.0 99.0 99.00
2004 01 02 08 999 99.0 99.0  2.08 11.11  5.90  51 1006.4 999.0  25.8 999.0 99.0 99.00
2004 01 02 09 999 99.0 99.0  2.17 11.11  6.09  40 1006.4 999.0  25.8 999.0 99.0 99.00
2004 01 02 10 999 99.0 99.0  2.13  7.69  6.08  78 1006.3 999.0  25.8 999.0 99.0 99.00
2004 01 02 11 999 99.0 99.0  2.30 10.00  6.28  52 1005.6 999.0  25.8 999.0 99.0 99.00
2004 01 02 12 999 99.0 99.0  2.14  7.69  5.97  92 1004.9 999.0  25.8 999.0 99.0 99.00
2004 01 02 13 999 99.0 99.0  2.12 11.11  6.10  52 1004.8 999.0  25.8 999.0 99.0 99.00
2004 01 02 14 999 99.0 99.0  2.21  8.33  6.16  75 1004.7 999.0  25.8 999.0 99.0 99.00
2004 01 02 15 999 99.0 99.0  2.15  9.09  6.14  67 1005.0 999.0  25.8 999.0 99.0 99.00
2004 01 02 16 999 99.0 99.0  2.22  8.33  6.04  80 1006.0 999.0  25.5 999.0 99.0 99.00
2004 01 02 17 999 99.0 99.0  2.24  8.33  6.02  78 1006.4 999.0  25.4 999.0 99.0 99.00
2004 01 02 18 999 99.0 99.0  2.18  8.33  6.04  77 1007.1 999.0  25.4 999.0 99.0 99.00
2004 01 02 19 999 99.0 99.0  2.17 10.00  6.27  54 1007.8 999.0  25.6 999.0 99.0 99.00
2004 01 02 20 999 99.0 99.0  2.22 10.00  6.14  49 1007.7 999.0  25.8 999.0 99.0 99.00
2004 01 02 21 999 99.0 99.0  2.25  7.69  6.02  83 1007.1 999.0  25.8 999.0 99.0 99.00
2004 01 02 22 999 99.0 99.0  2.20  7.69  5.85  88 1006.3 999.0  25.8 999.0 99.0 99.00
2004 01 02 23 999 99.0 99.0  2.16 14.29  6.07 349 1005.6 999.0  25.8 999.0 99.0 99.00
