YYYY MM DD hh mm  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2005 01 01 00 00 103  9.8 11.5  2.06 13.79  5.86   4 1004.8  27.1  27.1 999.0 99.0 99.00
2005 01 01 01 00 103  9.2 10.8  2.25  8.33  5.65  84 1003.8  27.1  27.1 999.0 99.0 99.00
2005 01 01 02 00 105  8.8 10.6  2.18  9.09  5.74  81 1003.7  27.1  27.1 999.0 99.0 99.00
2005 01 01 03 00 108  7.7  9.4  2.50  8.33  6.18  86 1004.1  27.2  27.1 999.0 99.0 99.00
2005 01 01 04 00 117  8.5 10.4  2.42  8.33  6.23  79 1004.6  27.2  27.1 999.0 99.0 99.00
2005 01 01 05 00 102  8.1  9.5  2.32  8.33  6.13  80 1005.1  27.2  27.0 999.0 99.0 99.00
2005 01 01 06 00  98  7.7  9.3  2.06  8.33  5.93  78 1006.0  27.1  27.0 999.0 99.0 99.00
2005 01 01 07 00 103  7.3  8.7  2.52  9.09  6.38  84 1006.9  27.0  27.0 999.0 99.0 99.00
2005 01 01 08 00  95  7.7  8.9  2.29  8.33  6.10  70 1007.6  27.1  27.0 999.0 99.0 99.00
2005 01 01 09 00  95  7.0  8.3  2.54  8.33  6.52  81 1007.9  27.1  27.0 999.0 99.0 99.00
2005 01 01 10 00  99  8.2  9.9  2.55  8.33  6.30  78 1007.7  27.2  27.0 999.0 99.0 99.00
2005 01 01 11 00  95  6.7  7.8  2.50  8.33  6.38  84 1007.6  27.0  27.0 999.0 99.0 99.00
2005 01 01 12 00  79  8.3 10.2  2.46  8.33  6.46  89 1007.3  25.9  27.0 999.0 99.0 99.00
2005 01 01 13 00 104  6.2  9.0  2.53  9.09  6.71  72 1007.3  26.2  27.0 999.0 99.0 99.00
2005 01 01 14 00  98  5.9  6.9  2.45  8.33  6.69  94 1007.4  26.7  27.0 999.0 99.0 99.00
2005 01 01 15 00  90  7.3  8.7  2.28  8.33  6.56  83 1007.6  26.8  26.9 999.0 99.0 99.00
2005 01 01 16 00  89  7.3  9.3  2.30  8.33  6.17  89 1007.9  26.9  26.9 999.0 99.0 99.00
2005 01 01 17 00  93  7.1  8.6  2.39  8.33  6.55  87 1008.7  26.8  26.9 999.0 99.0 99.00
2005 01 01 18 00  81  7.3  8.5  2.35  9.09  6.55  75 1008.9  26.8  26.9 999.0 99.0 99.00
2005 01 01 19 00  81  7.8  9.3  2.37  9.09  6.65  74 1008.9  27.0  27.0 999.0 99.0 99.00
2005 01 01 20 00  80  8.3 10.7  2.44  9.09  6.28  70 1008.7  27.0  27.0 999.0 99.0 99.00
2005 01 01 21 00  79  8.2  9.7  2.55  9.09  6.67  74 1007.8  27.0  27.0 999.0 99.0 99.00
2005 01 01 22 00  82  8.9 10.6  2.36  8.33  6.33  88 1007.1  26.8  27.0 999.0 99.0 99.00
2005 01 01 23 00  85  9.0 10.9  2.36  8.33  6.29  93 1006.3  26.9  27.0 999.0 99.0 99.00
2005 01 02 00 00  89  8.9 10.6  2.42  9.09  6.49  81 1005.5  27.2  27.1 999.0 99.0 99.00
2005 01 02 01 00  84  8.4  9.8  2.04  8.33  5.94  77 1004.9  26.9  27.1 999.0 99.0 99.00
