#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 01 01 00 00 111  6.9  8.2 99.00 99.00 99.00 999 1005.8  27.4  27.7 999.0 99.0 99.00
2007 01 01 01 00 115  8.4  9.9 99.00 99.00 99.00 999 1005.0  27.6  27.7 999.0 99.0 99.00
2007 01 01 02 00  97  9.2 11.3 99.00 99.00 99.00 999 1005.1  25.5  27.6 999.0 99.0 99.00
2007 01 01 03 00 105  6.4  7.7 99.00 99.00 99.00 999 1005.6  26.8  27.6 999.0 99.0 99.00
2007 01 01 04 00 116  9.4 11.0 99.00 99.00 99.00 999 1006.0  27.7  27.6 999.0 99.0 99.00
2007 01 01 05 00 114  8.5 10.2 99.00 99.00 99.00 999 1006.6  27.6  27.5 999.0 99.0 99.00
2007 01 01 06 00  96  9.3 11.6 99.00 99.00 99.00 999 1007.3  25.6  27.5 999.0 99.0 99.00
2007 01 01 07 00 100  7.3  9.3 99.00 99.00 99.00 999 1007.8  27.0  27.5 999.0 99.0 99.00
2007 01 01 08 00  93 11.7 13.7 99.00 99.00 99.00 999 1008.0  26.3  27.5 999.0 99.0 99.00
2007 01 01 09 00  96  8.6 10.6 99.00 99.00 99.00 999 1008.0  27.0  27.4 999.0 99.0 99.00
2007 01 01 10 00 108  8.0  9.6 99.00 99.00 99.00 999 1008.1  25.8  27.4 999.0 99.0 99.00
2007 01 01 11 00  94  8.1 10.4 99.00 99.00 99.00 999 1007.4  26.5  27.4 999.0 99.0 99.00
2007 01 01 12 00 102 10.5 12.4 99.00 99.00 99.00 999 1006.7  27.3  27.4 999.0 99.0 99.00
2007 01 01 13 00  98  9.4 11.9 99.00 99.00 99.00 999 1006.3  27.1  27.3 999.0 99.0 99.00
2007 01 01 14 00 105  9.3 10.7 99.00 99.00 99.00 999 1006.3  27.0  27.3 999.0 99.0 99.00
2007 01 01 15 00 101  9.4 10.9 99.00 99.00 99.00 999 1006.6  26.9  27.3 999.0 99.0 99.00
2007 01 01 16 00  99  9.0 10.6 99.00 99.00 99.00 999 1007.4  27.0  27.3 999.0 99.0 99.00
2007 01 01 17 00  96  9.2 11.2 99.00 99.00 99.00 999 1008.3  27.0  27.3 999.0 99.0 99.00
2007 01 01 18 00  98  9.4 11.4 99.00 99.00 99.00 999 1008.9  27.1  27.3 999.0 99.0 99.00
2007 01 01 19 00 103  9.4 11.3 99.00 99.00 99.00 999 1009.4  27.1  27.3 999.0 99.0 99.00
2007 01 01 20 00 104  9.1 10.9 99.00 99.00 99.00 999 1009.3  27.2  27.3 999.0 99.0 99.00
2007 01 01 21 00 100  8.9 10.5 99.00 99.00 99.00 999 1009.0  27.3  27.3 999.0 99.0 99.00
2007 01 01 22 00 103  8.2  9.8 99.00 99.00 99.00 999 1008.5  27.2  27.3 999.0 99.0 99.00
2007 01 01 23 00 100  7.8  9.2 99.00 99.00 99.00 999 1007.9  27.2  27.4 999.0 99.0 99.00
2007 01 02 00 00 107  7.7  9.4 99.00 99.00 99.00 999 1006.8  27.3  27.4 999.0 99.0 99.00
2007 01 02 01 00 108  7.9  9.3 99.00 99.00 99.00 999 1006.1  27.3  27.4 999.0 99.0 99.00
2007 01 02 02 00 104  6.8  8.0 99.00 99.00 99.00 999 1006.3  27.3  27.4 999.0 99.0 99.00
2007 01 02 03 00 102  7.2  8.5 99.00 99.00 99.00 999 1006.7  27.4  27.4 999.0 99.0 99.00
2007 01 02 04 00  91  7.6  9.4 99.00 99.00 99.00 999 1007.1  27.2  27.3 999.0 99.0 99.00
2007 01 02 05 00  83  7.5  8.5 99.00 99.00 99.00 999 1007.6  27.1  27.3 999.0 99.0 99.00
