#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec deg    hPa  degC  degC  degC  nmi    ft
2008 01 01 00 00  85 10.3 12.1  2.42 11.43  5.67  47 1005.7  24.2  24.1 999.0 99.0 99.00
2008 01 01 01 00  85 10.3 12.0  2.53 12.12  5.87  41 1004.9  24.2  24.2 999.0 99.0 99.00
2008 01 01 02 00  83  9.2 10.7  2.17 11.43  5.42  48 1005.0  24.3  24.2 999.0 99.0 99.00
2008 01 01 03 00  85  9.6 11.8  2.37 12.12  5.71  46 1005.4  24.3  24.2 999.0 99.0 99.00
2008 01 01 04 00  83  9.2 10.9  2.48 12.12  5.83  48 1006.0  24.2  24.1 999.0 99.0 99.00
2008 01 01 05 00  85  8.6 10.4  2.50 11.43  5.76  55 1006.9  24.2  24.1 999.0 99.0 99.00
2008 01 01 06 00  87  8.4 10.4  2.38 12.12  5.59  44 1007.2  24.3  24.1 999.0 99.0 99.00
2008 01 01 07 00  84  9.3 11.0  2.29 11.43  5.63  54 1008.0  24.2  24.1 999.0 99.0 99.00
2008 01 01 08 00  85  9.4 10.6  2.23 11.43  5.64  47 1008.1  24.2  24.1 999.0 99.0 99.00
2008 01 01 09 00  82  8.8 10.3  2.27 11.43  5.76  48 1008.4  24.1  24.1 999.0 99.0 99.00
2008 01 01 10 00  85  9.1 10.5  2.28 11.43  5.67  51 1008.3  24.1  24.1 999.0 99.0 99.00
2008 01 01 11 00  83  8.4  9.6  2.17 11.43  5.82  49 1008.0  23.9  24.0 999.0 99.0 99.00
2008 01 01 12 00  85  7.9  9.1  2.38 10.81  6.02  53 1007.4  23.8  24.0 999.0 99.0 99.00
2008 01 01 13 00  94  7.6  8.9  2.28 12.12  6.12  56 1007.1  23.8  24.0 999.0 99.0 99.00
2008 01 01 14 00  97  8.2  9.5  2.22 11.43  6.10  55 1007.0  23.7  24.0 999.0 99.0 99.00
2008 01 01 15 00  87  9.0 11.1  2.40 11.43  6.18  59 1007.6  23.7  24.0 999.0 99.0 99.00
2008 01 01 16 00  90  8.9 10.3  2.44 11.43  6.22  57 1008.5  23.9  24.0 999.0 99.0 99.00
2008 01 01 17 00  88  8.9 10.3  2.38 11.43  6.21  60 1009.2  24.0  24.0 999.0 99.0 99.00
